IMAGE NEWIMG EPOCH FILTER AIRMASS
cpt1m013-fa14-20191229-0080-e91.fits.fz datared/58846.85701_gp.txt 58846.8570185 gp 1.0599476
cpt1m012-fa06-20201120-0230-e91.fits.fz datared/59174.04761_ip.txt 59174.0476107 ip 1.0079884
coj1m011-fa12-20200831-0174-e91.fits.fz datared/59092.74404_rp.txt 59092.7440488 rp 1.4068289
lsc1m004-fa03-20200106-0153-e91.fits.fz datared/58855.23367_gp.txt 58855.2336797 gp 1.1059749
cpt1m013-fa14-20200320-0099-e91.fits.fz datared/58928.85875_ip.txt 58928.8587542 ip 1.5317562
coj1m011-fa12-20200301-0153-e91.fits.fz datared/58909.55187_ip.txt 58909.5518722 ip 1.5095099
lsc1m004-fa03-20200308-0072-e91.fits.fz datared/58917.03837_ip.txt 58917.0383738 ip 1.0472142
cpt1m013-fa14-20200313-0079-e91.fits.fz datared/58921.79262_ip.txt 58921.792627 ip 1.0921425
lsc1m004-fa03-20200106-0092-e91.fits.fz datared/58855.09621_ip.txt 58855.0962181 ip 1.0475233
cpt1m012-fa06-20200209-0062-e91.fits.fz datared/58888.77489_ip.txt 58888.7748938 ip 1.0137719
coj1m011-fa12-20200328-0071-e91.fits.fz datared/58936.40387_ip.txt 58936.4038763 ip 1.1136222
coj1m011-fa12-20201113-0057-e91.fits.fz datared/59166.53488_gp.txt 59166.5348859 gp 1.4614836
coj1m003-fa19-20210110-0066-e91.fits.fz datared/59224.45644_rp.txt 59224.4564411 rp 1.0834913
cpt1m013-fa14-20201119-0103-e91.fits.fz datared/59172.88716_gp.txt 59172.8871644 gp 1.3582814
cpt1m010-fa16-20201225-0078-e91.fits.fz datared/59208.81747_rp.txt 59208.8174766 rp 1.2066316
lsc1m004-fa03-20200111-0113-e91.fits.fz datared/58860.13462_gp.txt 58860.1346275 gp 1.0003154
coj1m011-fa12-20201207-0088-e91.fits.fz datared/59190.49748_rp.txt 59190.4974805 rp 1.2759621
coj1m011-fa12-20200229-0107-e91.fits.fz datared/58908.46751_gp.txt 58908.467516 gp 1.0799356
cpt1m013-fa14-20200112-0074-e91.fits.fz datared/58860.88612_ip.txt 58860.8861274 ip 1.00055
lsc1m004-fa03-20201214-0330-e91.fits.fz datared/59198.32663_gp.txt 59198.3266371 gp 1.2230034
cpt1m013-fa14-20201114-0052-e91.fits.fz datared/59167.92353_gp.txt 59167.9235395 gp 1.2328479
cpt1m013-fa14-20200228-0116-e91.fits.fz datared/58907.87142_gp.txt 58907.871428 gp 1.2354925
coj1m003-fa19-20201126-0281-e91.fits.fz datared/59179.62466_gp.txt 59179.6246694 gp 1.0116273
coj1m011-fa12-20200111-0095-e91.fits.fz datared/58859.5118_ip.txt 58859.511807 ip 1.0044584
cpt1m013-fa14-20200824-0170-e91.fits.fz datared/59086.10119_up.txt 59086.1011975 up 1.5407461
cpt1m012-fa06-20201024-0430-e91.fits.fz datared/59147.11198_rp.txt 59147.1119805 rp 1.0030091
coj1m003-fa19-20201208-0355-e91.fits.fz datared/59191.63726_ip.txt 59191.6372692 ip 1.0043198
lsc1m004-fa03-20200106-0180-e91.fits.fz datared/58855.26204_ip.txt 58855.2620436 ip 1.2059095
coj1m011-fa12-20200103-0155-e91.fits.fz datared/58851.65594_gp.txt 58851.6559438 gp 1.1809414
lsc1m009-fa04-20200209-0150-e91.fits.fz datared/58889.18511_ip.txt 58889.1851166 ip 1.2834899
lsc1m004-fa03-20210104-0346-e91.fits.fz datared/59219.24903_gp.txt 59219.2490361 gp 1.142839
coj1m003-fa19-20200911-0094-e91.fits.fz datared/59103.79821_gp.txt 59103.7982189 gp 1.0585185
lsc1m004-fa03-20200102-0108-e91.fits.fz datared/58851.14877_gp.txt 58851.1487728 gp 1.0030682
lsc1m004-fa03-20210111-0191-e91.fits.fz datared/59226.28114_ip.txt 59226.2811451 ip 1.4026667
cpt1m012-fa06-20210305-0128-e91.fits.fz datared/59278.81183_gp.txt 59278.8118302 gp 1.0839203
lsc1m004-fa03-20191219-0084-e91.fits.fz datared/58837.06578_gp.txt 58837.065782 gp 1.3390394
cpt1m012-fa06-20200202-0059-e91.fits.fz datared/58881.77892_ip.txt 58881.7789231 ip 1.0308
cpt1m013-fa14-20200830-0045-e91.fits.fz datared/59092.08007_gp.txt 59092.0800784 gp 1.5862705
cpt1m013-fa14-20191231-0092-e91.fits.fz datared/58848.95353_gp.txt 58848.9535361 gp 1.0223931
lsc1m004-fa03-20201113-0130-e91.fits.fz datared/59167.17132_ip.txt 59167.1713273 ip 1.2844338
lsc1m005-fa15-20200209-0068-e91.fits.fz datared/58889.0285_gp.txt 58889.0285012 gp 1.0140796
lsc1m004-fa03-20201203-0250-e91.fits.fz datared/59187.25045_gp.txt 59187.2504532 gp 1.0009643
cpt1m012-fa06-20201202-0109-e91.fits.fz datared/59185.87051_gp.txt 59185.870511 gp 1.2515335
cpt1m012-fa06-20191222-0062-e91.fits.fz datared/58839.80877_gp.txt 58839.8087741 gp 1.2998333
cpt1m010-fa16-20201223-0112-e91.fits.fz datared/59206.93505_ip.txt 59206.935059 ip 1.0002943
cpt1m012-fa06-20200321-0074-e91.fits.fz datared/58929.77541_ip.txt 58929.7754121 ip 1.1043711
coj1m011-fa12-20201208-0057-e91.fits.fz datared/59191.46059_ip.txt 59191.4605956 ip 1.5127006
coj1m011-fa12-20200113-0079-e91.fits.fz datared/58861.46879_gp.txt 58861.4687931 gp 1.0454932
coj1m003-fa19-20201013-0286-e91.fits.fz datared/59135.7668_ip.txt 59135.7668008 ip 1.0005617
lsc1m005-fa15-20201226-0142-e91.fits.fz datared/59210.19127_gp.txt 59210.1912732 gp 1.0019699
lsc1m005-fa15-20210304-0089-e91.fits.fz datared/59278.09903_rp.txt 59278.0990398 rp 1.1837794
cpt1m010-fa16-20200101-0062-e91.fits.fz datared/58849.79104_gp.txt 58849.7910407 gp 1.2501224
cpt1m013-fa14-20201112-0148-e91.fits.fz datared/59165.93677_rp.txt 59165.9367763 rp 1.1986216
lsc1m004-fa03-20200314-0084-e91.fits.fz datared/58923.03909_up.txt 58923.0390944 up 1.0827573
lsc1m005-fa15-20210302-0060-e91.fits.fz datared/59276.01096_ip.txt 59276.0109631 ip 1.0019419
coj1m003-fa19-20201209-0106-e91.fits.fz datared/59192.54305_ip.txt 59192.5430533 ip 1.0853532
cpt1m013-fa14-20200114-0130-e91.fits.fz datared/58862.9694_ip.txt 58862.9694025 ip 1.1374034
lsc1m004-fa03-20200314-0145-e91.fits.fz datared/58923.123_up.txt 58923.1230078 up 1.4967824
coj1m011-fa12-20201119-0341-e91.fits.fz datared/59172.65104_rp.txt 59172.6510447 rp 1.0063829
cpt1m010-fa16-20201230-0059-e91.fits.fz datared/59213.78561_ip.txt 59213.785612 ip 1.2957869
lsc1m004-fa03-20210111-0142-e91.fits.fz datared/59226.16099_rp.txt 59226.1609917 rp 1.0090973
lsc1m004-fa03-20191220-0222-e91.fits.fz datared/58838.22181_gp.txt 58838.221812 gp 1.0081756
lsc1m009-fa04-20200109-0088-e91.fits.fz datared/58858.09782_ip.txt 58858.0978261 ip 1.0319637
lsc1m004-fa03-20200301-0126-e91.fits.fz datared/58910.13782_gp.txt 58910.1378275 gp 1.3427445
coj1m011-fa12-20200229-0145-e91.fits.fz datared/58908.55327_ip.txt 58908.5532725 ip 1.4978786
coj1m011-fa12-20201127-0428-e91.fits.fz datared/59180.67416_ip.txt 59180.6741662 ip 1.0084702
coj1m003-fa19-20210117-0068-e91.fits.fz datared/59231.43101_gp.txt 59231.4310119 gp 1.0995886
lsc1m004-fa03-20210107-0104-e91.fits.fz datared/59222.10307_gp.txt 59222.1030767 gp 1.0294155
lsc1m005-fa15-20201221-0286-e91.fits.fz datared/59205.21627_ip.txt 59205.2162738 ip 1.0076522
lsc1m009-fa04-20200310-0058-e91.fits.fz datared/58919.04184_gp.txt 58919.0418461 gp 1.064368
coj1m011-fa12-20191220-0359-e91.fits.fz datared/58837.72184_gp.txt 58837.7218451 gp 1.3162935
coj1m011-fa12-20210306-0072-e91.fits.fz datared/59279.42539_rp.txt 59279.4253942 rp 1.0309257
lsc1m004-fa03-20201225-0067-e91.fits.fz datared/59209.05414_rp.txt 59209.0541482 rp 1.2984019
coj1m011-fa12-20201207-0125-e91.fits.fz datared/59190.57814_rp.txt 59190.578146 rp 1.0296165
cpt1m010-fa16-20201112-0196-e91.fits.fz datared/59166.05021_rp.txt 59166.0502165 rp 1.0005035
coj1m003-fa19-20210110-0136-e91.fits.fz datared/59224.53927_ip.txt 59224.5392753 ip 1.0012701
coj1m011-fa12-20201115-0238-e91.fits.fz datared/59168.5773_rp.txt 59168.5773024 rp 1.184595
lsc1m004-fa03-20200107-0117-e91.fits.fz datared/58856.1784_ip.txt 58856.1784049 ip 1.0126718
lsc1m004-fa03-20191231-0173-e91.fits.fz datared/58849.20726_gp.txt 58849.2072635 gp 1.0226593
lsc1m005-fa15-20201120-0111-e91.fits.fz datared/59174.15743_ip.txt 59174.1574392 ip 1.2568901
cpt1m013-fa14-20201121-0125-e91.fits.fz datared/59174.92531_rp.txt 59174.9253193 rp 1.1489753
coj1m011-fa12-20200203-0079-e91.fits.fz datared/58882.45962_gp.txt 58882.4596285 gp 1.0006925
cpt1m010-fa16-20191225-0170-e91.fits.fz datared/58843.02876_gp.txt 58843.0287664 gp 1.1534844
cpt1m010-fa16-20201222-0171-e91.fits.fz datared/59205.96908_ip.txt 59205.9690867 ip 1.0150935
coj1m003-fa19-20201226-0086-e91.fits.fz datared/59209.47426_ip.txt 59209.4742664 ip 1.1513076
lsc1m004-fa03-20201227-0236-e91.fits.fz datared/59211.23591_gp.txt 59211.235916 gp 1.0526188
cpt1m012-fa06-20201126-0106-e91.fits.fz datared/59179.86902_ip.txt 59179.8690216 ip 1.3520549
cpt1m010-fa16-20200104-0068-e91.fits.fz datared/58852.81541_gp.txt 58852.8154135 gp 1.1225573
cpt1m010-fa16-20210306-0053-e91.fits.fz datared/59279.74986_gp.txt 59279.7498654 gp 1.0034288
lsc1m005-fa15-20200127-0251-e91.fits.fz datared/58876.20643_gp.txt 58876.2064325 gp 1.2134867
lsc1m009-fa04-20200102-0155-e91.fits.fz datared/58851.31535_gp.txt 58851.3153593 gp 1.461024
coj1m011-fa12-20200313-0105-e91.fits.fz datared/58921.45442_gp.txt 58921.4544243 gp 1.1437484
cpt1m012-fa06-20200129-0068-e91.fits.fz datared/58877.79221_ip.txt 58877.7922156 ip 1.027645
lsc1m004-fa03-20201202-0243-e91.fits.fz datared/59186.17145_gp.txt 59186.1714534 gp 1.0860685
cpt1m012-fa06-20200303-0114-e91.fits.fz datared/58911.8852_ip.txt 58911.8852055 ip 1.3750005
lsc1m005-fa15-20201224-0189-e91.fits.fz datared/59208.30569_rp.txt 59208.3056961 rp 1.2535439
coj1m011-fa12-20200131-0086-e91.fits.fz datared/58879.45694_ip.txt 58879.4569482 ip 1.0045854
coj1m011-fa12-20200111-0206-e91.fits.fz datared/58859.685_ip.txt 58859.685008 ip 1.4803328
coj1m011-fa12-20201014-0249-e91.fits.fz datared/59136.76487_rp.txt 59136.7648765 rp 1.000428
coj1m011-fa12-20200113-0120-e91.fits.fz datared/58861.55211_gp.txt 58861.552115 gp 1.0117355
cpt1m012-fa06-20200115-0107-e91.fits.fz datared/58864.03251_ip.txt 58864.0325189 ip 1.4987169
cpt1m012-fa06-20200319-0212-e91.fits.fz datared/58927.8633_gp.txt 58927.8633052 gp 1.5485552
lsc1m004-fa03-20200130-0203-e91.fits.fz datared/58879.20694_ip.txt 58879.2069402 ip 1.2546884
coj1m011-fa12-20201109-0264-e91.fits.fz datared/59162.69472_gp.txt 59162.6947225 gp 1.0003076
lsc1m004-fa03-20200111-0056-e91.fits.fz datared/58860.05212_gp.txt 58860.0521254 gp 1.1193884
cpt1m012-fa06-20201012-0498-e91.fits.fz datared/59135.12435_ip.txt 59135.1243572 ip 1.0009218
coj1m003-fa19-20201202-0056-e91.fits.fz datared/59185.52107_gp.txt 59185.5210799 gp 1.2266893
lsc1m005-fa15-20201203-0093-e91.fits.fz datared/59187.10116_gp.txt 59187.1011698 gp 1.3803083
cpt1m010-fa16-20210305-0076-e91.fits.fz datared/59278.79347_rp.txt 59278.7934765 rp 1.0463137
coj1m003-fa19-20210305-0115-e91.fits.fz datared/59278.4719_gp.txt 59278.4719025 gp 1.1273002
cpt1m013-fa14-20201224-0118-e91.fits.fz datared/59208.05914_gp.txt 59208.059147 gp 1.2836065
lsc1m009-fa04-20200211-0165-e91.fits.fz datared/58891.1851_ip.txt 58891.1851064 ip 1.3145054
coj1m011-fa12-20201209-0428-e91.fits.fz datared/59192.71247_rp.txt 59192.712475 rp 1.1460943
cpt1m012-fa06-20201126-0203-e91.fits.fz datared/59180.05722_rp.txt 59180.0572297 rp 1.0358152
lsc1m004-fa03-20200113-0117-e91.fits.fz datared/58862.13524_gp.txt 58862.1352455 gp 1.0001888
cpt1m012-fa06-20201230-0015-e91.fits.fz datared/59213.87103_rp.txt 59213.8710313 rp 1.0290361
cpt1m012-fa06-20210304-0077-e91.fits.fz datared/59277.7786_gp.txt 59277.7786032 gp 1.0214105
cpt1m013-fa14-20200310-0055-e91.fits.fz datared/58918.79974_ip.txt 58918.7997416 ip 1.0894224
coj1m011-fa12-20200111-0061-e91.fits.fz datared/58859.4372_gp.txt 58859.4372012 gp 1.1358742
cpt1m013-fa14-20200209-0103-e91.fits.fz datared/58888.93449_gp.txt 58888.9344983 gp 1.292593
coj1m011-fa12-20201126-0079-e91.fits.fz datared/59179.49592_ip.txt 59179.4959285 ip 1.4902674
coj1m003-fa19-20201103-0200-e91.fits.fz datared/59156.55251_gp.txt 59156.5525138 gp 1.545982
cpt1m013-fa14-20200109-0078-e91.fits.fz datared/58857.85084_gp.txt 58857.8508407 gp 1.0227152
lsc1m004-fa03-20200205-0138-e91.fits.fz datared/58885.11138_gp.txt 58885.1113856 gp 1.0256061
coj1m011-fa12-20200830-0342-e91.fits.fz datared/59091.74292_ip.txt 59091.7429237 ip 1.4355904
cpt1m013-fa14-20201127-0068-e91.fits.fz datared/59180.84349_gp.txt 59180.8434943 gp 1.5256462
cpt1m013-fa14-20200116-0064-e91.fits.fz datared/58864.95924_gp.txt 58864.9592439 gp 1.1226616
lsc1m004-fa03-20191229-0243-e91.fits.fz datared/58847.19481_gp.txt 58847.1948174 gp 1.0065795
coj1m003-fa19-20210302-0065-e91.fits.fz datared/59275.42115_ip.txt 59275.4211512 ip 1.0136125
lsc1m009-fa04-20200310-0063-e91.fits.fz datared/58919.13308_up.txt 58919.1330804 up 1.4894165
coj1m003-fa19-20201015-0401-e91.fits.fz datared/59137.76866_rp.txt 59137.7686646 rp 1.0000317
coj1m011-fa12-20191229-0101-e91.fits.fz datared/58846.52774_gp.txt 58846.5277413 gp 1.0202275
coj1m003-fa19-20200923-0537-e91.fits.fz datared/59115.73789_rp.txt 59115.73789 rp 1.1281836
coj1m011-fa12-20200301-0104-e91.fits.fz datared/58909.47131_gp.txt 58909.471312 gp 1.0961969
coj1m011-fa12-20200121-0165-e91.fits.fz datared/58869.53464_gp.txt 58869.5346478 gp 1.0156929
cpt1m013-fa14-20200109-0085-e91.fits.fz datared/58857.92892_ip.txt 58857.9289257 ip 1.0223507
lsc1m009-fa04-20200131-0301-e91.fits.fz datared/58880.21554_gp.txt 58880.2155459 gp 1.3169009
lsc1m005-fa15-20201123-0336-e91.fits.fz datared/59177.22602_gp.txt 59177.2260242 gp 1.0293037
coj1m011-fa12-20210112-0135-e91.fits.fz datared/59226.57393_ip.txt 59226.5739308 ip 1.0364601
coj1m011-fa12-20201125-0377-e91.fits.fz datared/59178.70292_rp.txt 59178.7029251 rp 1.0334193
cpt1m012-fa06-20201121-0164-e91.fits.fz datared/59174.96992_rp.txt 59174.969927 rp 1.0400546
lsc1m004-fa03-20200128-0058-e91.fits.fz datared/58877.03988_gp.txt 58877.0398843 gp 1.0411956
coj1m011-fa12-20200112-0058-e91.fits.fz datared/58860.47071_ip.txt 58860.4707178 ip 1.046883
coj1m011-fa12-20201105-0074-e91.fits.fz datared/59158.55361_rp.txt 59158.5536102 rp 1.4873436
cpt1m013-fa14-20210302-0088-e91.fits.fz datared/59275.88848_rp.txt 59275.8884889 rp 1.3741108
lsc1m004-fa03-20200106-0118-e91.fits.fz datared/58855.1486_gp.txt 58855.1486016 gp 1.0002809
lsc1m004-fa03-20210110-0216-e91.fits.fz datared/59225.2892_ip.txt 59225.2892098 ip 1.442903
coj1m011-fa12-20191226-0041-e91.fits.fz datared/58843.46097_gp.txt 58843.4609772 gp 1.2114918
coj1m003-fa19-20201202-0099-e91.fits.fz datared/59185.59137_rp.txt 59185.5913785 rp 1.030175
cpt1m013-fa14-20200212-0078-e91.fits.fz datared/58891.85498_ip.txt 58891.8549888 ip 1.0500156
cpt1m010-fa16-20201126-0218-e91.fits.fz datared/59179.95359_ip.txt 59179.9535928 ip 1.0444156
lsc1m009-fa04-20191230-0085-e91.fits.fz datared/58848.12586_gp.txt 58848.1258688 gp 1.0309257
cpt1m010-fa16-20200126-0063-e91.fits.fz datared/58874.79199_gp.txt 58874.7919963 gp 1.0396849
coj1m003-fa19-20201225-0091-e91.fits.fz datared/59208.48013_ip.txt 59208.4801331 ip 1.1406531
cpt1m010-fa16-20210107-0347-e91.fits.fz datared/59221.98986_gp.txt 59221.989864 gp 1.1487732
lsc1m004-fa03-20200131-0050-e91.fits.fz datared/58880.04078_gp.txt 58880.0407803 gp 1.0278231
lsc1m009-fa04-20200307-0061-e91.fits.fz datared/58916.04021_ip.txt 58916.0402165 ip 1.0456753
lsc1m004-fa03-20200213-0112-e91.fits.fz datared/58893.10101_gp.txt 58893.1010128 gp 1.0422881
lsc1m009-fa04-20200114-0121-e91.fits.fz datared/58863.13907_gp.txt 58863.1390778 gp 1.0012714
cpt1m012-fa06-20201229-0113-e91.fits.fz datared/59212.86922_ip.txt 59212.869229 ip 1.0353831
lsc1m005-fa15-20201125-0427-e91.fits.fz datared/59179.31325_ip.txt 59179.3132597 ip 1.0357373
coj1m011-fa12-20200221-0072-e91.fits.fz datared/58900.51336_gp.txt 58900.5133672 gp 1.1491833
cpt1m013-fa14-20191231-0104-e91.fits.fz datared/58848.96235_V.txt 58848.9623566 V 1.0338309
cpt1m012-fa06-20210107-0096-e91.fits.fz datared/59221.85175_ip.txt 59221.8517575 ip 1.0257266
lsc1m005-fa15-20201227-0113-e91.fits.fz datared/59211.11448_gp.txt 59211.1144852 gp 1.0607417
coj1m011-fa12-20191226-0153-e91.fits.fz datared/58843.69557_gp.txt 58843.6955779 gp 1.261832
cpt1m013-fa14-20200112-0103-e91.fits.fz datared/58860.97017_ip.txt 58860.9701786 ip 1.1226943
cpt1m012-fa06-20200212-0072-e91.fits.fz datared/58891.78239_ip.txt 58891.7823915 ip 1.0034423
cpt1m013-fa14-20200210-0088-e91.fits.fz datared/58889.93429_gp.txt 58889.934299 gp 1.3067671
coj1m003-fa19-20210112-0083-e91.fits.fz datared/59226.45471_gp.txt 59226.4547144 gp 1.0747637
lsc1m004-fa03-20191223-0250-e91.fits.fz datared/58841.22165_gp.txt 58841.2216565 gp 1.0147499
coj1m011-fa12-20200416-0069-e91.fits.fz datared/58955.36941_ip.txt 58955.3694191 ip 1.1718064
cpt1m012-fa06-20200115-0079-e91.fits.fz datared/58863.94931_ip.txt 58863.9493104 ip 1.0879098
cpt1m013-fa14-20201208-0039-e91.fits.fz datared/59191.95335_ip.txt 59191.9533599 ip 1.0072802
coj1m011-fa12-20210306-0119-e91.fits.fz datared/59279.47891_ip.txt 59279.478915 ip 1.160132
coj1m011-fa12-20200108-0149-e91.fits.fz datared/58856.68425_ip.txt 58856.6842599 ip 1.4103606
lsc1m005-fa15-20210305-0119-e91.fits.fz datared/59279.08496_rp.txt 59279.0849693 rp 1.1420743
coj1m003-fa19-20210111-0075-e91.fits.fz datared/59225.44842_gp.txt 59225.4484237 gp 1.0968649
coj1m011-fa12-20200415-0062-e91.fits.fz datared/58954.36898_rp.txt 58954.3689884 rp 1.1600885
lsc1m004-fa03-20210118-0111-e91.fits.fz datared/59233.15665_gp.txt 59233.1566571 gp 1.0233536
coj1m003-fa19-20210303-0082-e91.fits.fz datared/59276.45757_gp.txt 59276.4575741 gp 1.0743194
lsc1m004-fa03-20210303-0131-e91.fits.fz datared/59277.05604_ip.txt 59277.0560465 ip 1.0532697
lsc1m004-fa03-20210122-0185-e91.fits.fz datared/59237.15524_rp.txt 59237.1552478 rp 1.0362649
lsc1m004-fa03-20200223-0048-e91.fits.fz datared/58903.03887_ip.txt 58903.0388702 ip 1.0048339
lsc1m004-fa03-20200115-0297-e91.fits.fz datared/58864.19907_ip.txt 58864.1990729 ip 1.0800702
coj1m011-fa12-20200319-0089-e91.fits.fz datared/58927.44305_gp.txt 58927.4430512 gp 1.1612942
lsc1m004-fa03-20200106-0136-e91.fits.fz datared/58855.17926_gp.txt 58855.1792659 gp 1.0110948
lsc1m004-fa03-20210103-0114-e91.fits.fz datared/59218.10222_rp.txt 59218.1022257 rp 1.0477711
cpt1m012-fa06-20210118-0059-e91.fits.fz datared/59232.79957_ip.txt 59232.7995795 ip 1.0615167
lsc1m009-fa04-20200120-0062-e91.fits.fz datared/58869.03968_gp.txt 58869.0396873 gp 1.0860915
cpt1m012-fa06-20200314-0074-e91.fits.fz datared/58922.78922_up.txt 58922.7892288 up 1.0904578
cpt1m013-fa14-20200113-0105-e91.fits.fz datared/58861.96805_gp.txt 58861.9680576 gp 1.1245567
lsc1m009-fa04-20200315-0060-e91.fits.fz datared/58924.0418_gp.txt 58924.0418064 gp 1.0965489
lsc1m004-fa03-20200210-0119-e91.fits.fz datared/58890.10162_ip.txt 58890.1016254 ip 1.0307822
cpt1m013-fa14-20200316-0073-e91.fits.fz datared/58924.77538_ip.txt 58924.7753859 ip 1.0708342
coj1m011-fa12-20200828-0205-e91.fits.fz datared/59089.75809_rp.txt 59089.7580955 rp 1.3661202
cpt1m010-fa16-20191224-0228-e91.fits.fz datared/58842.02889_gp.txt 58842.0288978 gp 1.1445535
cpt1m013-fa14-20200109-0080-e91.fits.fz datared/58857.8522_ip.txt 58857.8522052 ip 1.0211547
cpt1m013-fa14-20200115-0034-e91.fits.fz datared/58863.80211_gp.txt 58863.802111 gp 1.0781095
lsc1m004-fa03-20200221-0002-e91.fits.fz datared/58901.18663_gp.txt 58901.1866359 gp 1.5286687
cpt1m010-fa16-20201226-0143-e91.fits.fz datared/59209.92909_rp.txt 59209.9290996 rp 1.0004069
lsc1m004-fa03-20200113-0162-e91.fits.fz datared/58862.21997_ip.txt 58862.2199757 ip 1.1218369
lsc1m004-fa03-20200129-0069-e91.fits.fz datared/58878.04048_ip.txt 58878.0404851 ip 1.035963
coj1m003-fa19-20201113-0257-e91.fits.fz datared/59166.72591_gp.txt 59166.7259188 gp 1.02086
coj1m011-fa12-20200504-0063-e91.fits.fz datared/58973.35609_rp.txt 58973.3560974 rp 1.3507927
cpt1m010-fa16-20201120-0215-e91.fits.fz datared/59173.97208_rp.txt 59173.972083 rp 1.0409612
cpt1m013-fa14-20210109-0093-e91.fits.fz datared/59223.86491_gp.txt 59223.864918 gp 1.0079743
lsc1m004-fa03-20200206-0243-e91.fits.fz datared/58886.20091_gp.txt 58886.2009141 gp 1.3274909
coj1m011-fa12-20200130-0241-e91.fits.fz datared/58878.6366_ip.txt 58878.6366006 ip 1.510215
cpt1m012-fa06-20200130-0159-e91.fits.fz datared/58878.95666_gp.txt 58878.9566634 gp 1.2651758
cpt1m010-fa16-20200210-0061-e91.fits.fz datared/58889.77345_gp.txt 58889.7734549 gp 1.0126372
coj1m011-fa12-20201120-0095-e91.fits.fz datared/59173.62172_gp.txt 59173.6217258 gp 1.0335893
cpt1m013-fa14-20201115-0114-e91.fits.fz datared/59168.88951_ip.txt 59168.8895105 ip 1.4175628
cpt1m012-fa06-20200127-0137-e91.fits.fz datared/58875.95708_ip.txt 58875.9570833 ip 1.2275033
coj1m011-fa12-20191229-0174-e91.fits.fz datared/58846.70005_gp.txt 58846.7000509 gp 1.3330074
lsc1m004-fa03-20200109-0264-e91.fits.fz datared/58858.17899_gp.txt 58858.1789936 gp 1.0185157
coj1m011-fa12-20210304-0041-e91.fits.fz datared/59277.47245_gp.txt 59277.4724568 gp 1.1206105
coj1m011-fa12-20200130-0085-e91.fits.fz datared/58878.46071_gp.txt 58878.4607141 gp 1.0040619
lsc1m009-fa04-20200108-0101-e91.fits.fz datared/58857.0979_gp.txt 58857.0979033 gp 1.0358459
lsc1m004-fa03-20200113-0070-e91.fits.fz datared/58862.05339_gp.txt 58862.0533957 gp 1.1000894
lsc1m004-fa03-20200109-0306-e91.fits.fz datared/58858.262_ip.txt 58858.2620064 ip 1.2434021
lsc1m004-fa03-20210305-0162-e91.fits.fz datared/59279.13678_gp.txt 59279.136781 gp 1.4052556
lsc1m005-fa15-20200312-0153-e91.fits.fz datared/58921.13509_ip.txt 58921.1350909 ip 1.5575465
coj1m011-fa12-20200416-0070-e91.fits.fz datared/58955.37014_rp.txt 58955.3701418 rp 1.1745796
cpt1m012-fa06-20201223-0067-e91.fits.fz datared/59206.83089_rp.txt 59206.830898 rp 1.1744674
